	Unnamed: 0	matched_Node1_textlabel	matched_Node2_textlabel	hmdb_id_node_1	hmdb_id_node_2	substrate_name	product_name
28	6	Phosphate	Phosphate	HMDB0001429	HMDB0001429	phosphate	phosphate
29	7	Phosphate	Phosphate	HMDB0001429	HMDB0001429	phosphate	phosphate
30	8	Glycine	L-Glutamine	HMDB0000123	HMDB0000641	glycine	glutamine
31	9	Taurine	L-Glutamine	HMDB0000251	HMDB0000641	taurine	glutamine
32	10	Taurine	L-Glutamine	HMDB0000251	HMDB0000641	taurine	glutamine
33	11	Glycine	Taurine	HMDB0000123	HMDB0000251	glycine	taurine
34	12	Glycine	Taurine	HMDB0000123	HMDB0000251	glycine	taurine
35	13	L-Glutamine	Taurine	HMDB0000641	HMDB0000251	glutamine	taurine
36	14	L-Glutamine	Taurine	HMDB0000641	HMDB0000251	glutamine	taurine
37	15	L-Glutamine	Glycine	HMDB0000641	HMDB0000123	glutamine	glycine
38	16	Taurine	Glycine	HMDB0000251	HMDB0000123	taurine	glycine
39	17	Taurine	Glycine	HMDB0000251	HMDB0000123	taurine	glycine
40	0	caffeine	theobromine	HMDB0001847	HMDB0002825	caffeine	theobromine
41	1	caffeine	paraxanthine	HMDB0001847	HMDB0001860	caffeine	paraxanthine
42	3	theobromine	3,7-dimethyluric acid	HMDB0002825	HMDB0001982	theobromine	3,7-dimethylurate
43	5	theobromine	caffeine	HMDB0002825	HMDB0001847	theobromine	caffeine
44	7	1-methylxanthine	Xanthine	HMDB0010738	HMDB0000292	1-methylxanthine	xanthine
45	8	7-methylxanthine	Xanthine	HMDB0001991	HMDB0000292	7-methylxanthine	xanthine
46	9	1-methylxanthine	1-methyluric acid	HMDB0010738	HMDB0003099	1-methylxanthine	1-methylurate
47	13	paraxanthine	1-methylxanthine	HMDB0001860	HMDB0010738	paraxanthine	1-methylxanthine
48	15	paraxanthine	1,7-dimethyluric acid	HMDB0001860	HMDB0011103	paraxanthine	1,7-dimethylurate
49	17	paraxanthine	7-methylxanthine	HMDB0001860	HMDB0001991	paraxanthine	7-methylxanthine
50	98	Arachidonic acid	Arachidonic acid	HMDB0001043	HMDB0001043	arachidonate (20:4n6)	arachidonate (20:4n6)
51	128	Cholesterol	Cholesterol	HMDB0000067	HMDB0000067	cholesterol	cholesterol
52	134	Glucose	Glucose	HMDB0000122	HMDB0000122	glucose	glucose
53	169	Ascorbic acid	a-Tocopherol	HMDB0000044	HMDB0001893	ascorbate (vitamin c)	alpha-tocopherol
54	181	Methionine	Methionine sulfoxide	HMDB0000696	HMDB0002005	methionine	methionine sulfoxide
55	222	a-Tocopherol	a-Tocopherol	HMDB0001893	HMDB0001893	alpha-tocopherol	alpha-tocopherol
56	241	Serine	Cystathionine	HMDB0000187	HMDB0000099	serine	cystathionine
57	243	Methionine	Methionine	HMDB0000696	HMDB0000696	methionine	methionine
